file,base_4.2.1_exit,head_exit
../rosetta-ruchy/examples/algorithms/010-edit-distance/implementations/ruchy/edit_distance_v190.ruchy,0,0
../rosetta-ruchy/examples/algorithms/013-rod-cutting/rod_cutting_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/010-edit-distance/implementations/ruchy/edit_distance_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/014-graph-coloring/graph_coloring_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/013-rod-cutting/implementations/ruchy/rod_cutting_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/012-coin-change/implementations/ruchy/coin_change_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/015-traveling-salesman/tsp_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/016-topological-sort/topological_sort_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/017-binary-search-tree/bst_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/013-rod-cutting/implementations/ruchy/rod_cutting_v191.ruchy,0,0
../rosetta-ruchy/examples/algorithms/018-heap-sort/heap_sort_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/014-graph-coloring/implementations/ruchy/graph_coloring_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/019-radix-sort/radix_sort_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/017-binary-search-tree/implementations/ruchy/bst_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/020-bucket-sort/bucket_sort_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/018-heap-sort/implementations/ruchy/heap_sort_v193.ruchy,0,0
../rosetta-ruchy/examples/algorithms/021-counting-sort/counting_sort_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/018-heap-sort/implementations/ruchy/heap_sort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/019-radix-sort/implementations/ruchy/radix_sort_v193.ruchy,0,0
../rosetta-ruchy/examples/algorithms/017-binary-search-tree/implementations/ruchy/bst_v193.ruchy,0,0
../rosetta-ruchy/examples/algorithms/021-counting-sort/implementations/ruchy/counting_sort.ruchy,0,0
../rosetta-ruchy/examples/algorithms/022-selection-sort/implementations/ruchy/selection_sort.ruchy,0,0
../rosetta-ruchy/examples/algorithms/022-selection-sort/selection_sort_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/020-bucket-sort/implementations/ruchy/bucket_sort_v193.ruchy,0,0
../rosetta-ruchy/examples/algorithms/demo_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/minimal_test.ruchy,0,0
../rosetta-ruchy/examples/algorithms/016-topological-sort/implementations/ruchy/topological_sort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/019-radix-sort/implementations/ruchy/radix_sort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/021-counting-sort/implementations/ruchy/counting_sort_v193.ruchy,0,0
../rosetta-ruchy/examples/algorithms/test_minimal_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/020-bucket-sort/implementations/ruchy/bucket_sort_v189.ruchy,0,0
../rosetta-ruchy/examples/blockchain/blockchain_core.ruchy,1,1
../rosetta-ruchy/examples/algorithms/022-selection-sort/implementations/ruchy/selection_sort_v189.ruchy,0,0
